TestDataID,Rating
1,3.5848238468170166
2,3.495314359664917
3,3.4657161235809326
4,3.6420161724090576
5,3.6235508918762207
6,3.652867555618286
7,3.5693132877349854
8,3.6395814418792725
9,3.5816850662231445
10,3.656979560852051
11,3.5437357425689697
12,3.6054251194000244
13,3.5872325897216797
14,3.5576117038726807
15,3.670820951461792
16,3.6316978931427
17,3.599817991256714
18,3.595365285873413
19,3.6249821186065674
20,3.604905843734741
21,3.4479193687438965
22,3.393226146697998
23,3.6970343589782715
24,3.707495927810669
25,3.55507755279541
26,3.7258803844451904
27,3.734769105911255
28,3.5874056816101074
29,3.7112576961517334
30,3.7168591022491455
31,3.6678760051727295
32,3.618703842163086
33,3.6660618782043457
34,3.7067670822143555
35,3.7406885623931885
36,3.7003729343414307
37,3.80578351020813
38,3.6938509941101074
39,3.657534122467041
40,3.773169755935669
41,3.7846484184265137
42,3.7465198040008545
43,3.659409284591675
44,3.735969305038452
45,3.685277223587036
46,3.6977968215942383
47,3.64778470993042
48,3.594144344329834
49,3.617067813873291
50,3.6472902297973633
51,3.476205587387085
52,3.546316385269165
53,3.4679858684539795
54,3.4811275005340576
55,3.5049524307250977
56,3.5836610794067383
57,3.572296142578125
58,3.471172571182251
59,3.5150861740112305
60,3.5580410957336426
61,3.6226916313171387
62,3.534885883331299
63,3.528055429458618
64,3.5777132511138916
65,3.437131404876709
66,3.456061840057373
67,3.4935989379882812
68,3.745359182357788
69,3.7893168926239014
70,3.820962429046631
71,3.8113760948181152
72,3.800980806350708
73,3.755222797393799
74,3.749917984008789
75,3.7835872173309326
76,3.700230360031128
77,3.674424886703491
78,3.5827243328094482
79,3.664525032043457
80,3.5316126346588135
81,3.484515905380249
82,3.6700782775878906
83,3.5346944332122803
84,3.5656702518463135
85,3.496195077896118
86,3.6309893131256104
87,3.586365222930908
88,3.5680346488952637
89,3.6085517406463623
90,3.5893638134002686
91,3.5176758766174316
92,3.507563352584839
93,3.5885210037231445
94,3.5552799701690674
95,3.6022448539733887
96,3.4938762187957764
97,3.5753536224365234
98,3.6660125255584717
99,3.594611406326294
100,3.5453102588653564
101,3.607834577560425
102,3.6258137226104736
103,3.4786784648895264
104,3.6242823600769043
105,3.454491138458252
106,3.4839305877685547
107,3.613001585006714
108,3.575255870819092
109,3.5474328994750977
